,price,quantity,symbol,timestamp,is_buy,price_next,target
24,139.51,0.103,AAVEUSDT,2025-04-12 09:43:35+00:00,0,139.51,0
25,139.51,0.044,AAVEUSDT,2025-04-12 09:43:35+00:00,0,139.5,0
29,139.5,0.148,AAVEUSDT,2025-04-12 09:43:35+00:00,0,139.48,0
32,139.48,0.093,AAVEUSDT,2025-04-12 09:43:35+00:00,0,139.48,0
33,139.48,0.057,AAVEUSDT,2025-04-12 09:43:35+00:00,0,139.49,1
59,139.49,0.152,AAVEUSDT,2025-04-12 09:43:44+00:00,1,139.49,0
60,139.49,1.282,AAVEUSDT,2025-04-12 09:43:44+00:00,1,139.49,0
61,139.49,0.293,AAVEUSDT,2025-04-12 09:43:44+00:00,1,139.5,1
97,139.5,0.171,AAVEUSDT,2025-04-12 09:43:52+00:00,0,139.47,0
1108,139.47,0.054,AAVEUSDT,2025-04-12 09:43:54+00:00,0,139.47,0
1151,139.47,3.295,AAVEUSDT,2025-04-12 09:43:55+00:00,1,139.47,0
1152,139.47,1.435,AAVEUSDT,2025-04-12 09:43:55+00:00,1,139.47,0
1153,139.47,1.435,AAVEUSDT,2025-04-12 09:43:55+00:00,1,139.47,0
1154,139.47,1.435,AAVEUSDT,2025-04-12 09:43:55+00:00,1,139.48,1
1413,139.48,1.042,AAVEUSDT,2025-04-12 09:44:03+00:00,1,139.48,0
1425,139.48,0.054,AAVEUSDT,2025-04-12 09:44:03+00:00,1,139.48,0
1426,139.48,0.086,AAVEUSDT,2025-04-12 09:44:03+00:00,1,139.48,0
1427,139.48,0.057,AAVEUSDT,2025-04-12 09:44:03+00:00,1,139.48,0
1428,139.48,13.104,AAVEUSDT,2025-04-12 09:44:03+00:00,1,139.51,1
248,139.51,0.154,AAVEUSDT,2025-04-12 09:44:04+00:00,0,139.5,0
1297,139.5,0.079,AAVEUSDT,2025-04-12 09:44:04+00:00,1,139.5,0
1299,139.5,0.073,AAVEUSDT,2025-04-12 09:44:04+00:00,1,139.51,1
1300,139.51,0.006,AAVEUSDT,2025-04-12 09:44:04+00:00,1,139.51,0
1301,139.51,0.079,AAVEUSDT,2025-04-12 09:44:04+00:00,1,139.51,0
1302,139.51,0.065,AAVEUSDT,2025-04-12 09:44:04+00:00,1,139.46,0
1548,139.46,0.137,AAVEUSDT,2025-04-12 09:44:23+00:00,0,139.46,0
1551,139.46,2.0,AAVEUSDT,2025-04-12 09:44:23+00:00,0,139.45,0
1579,139.45,0.153,AAVEUSDT,2025-04-12 09:44:23+00:00,0,139.44,0
